"","regulatoryGene","targetGene","weight","goldstand"
"1","z","y",0.309241401287368,0
"2","z","x",0.284988676113334,0
"3","y","z",0.190314951633452,1
"4","y","x",0.126835140764154,0
"5","x","z",0.0886198302016936,1
"6","x","y",0,0
