,0,1,2,3,4
0,kocmi,0.9375,0.833333333,1,0.25
1,genie3,0.375,0.416666667,0.5,0.25
2,genims,0,0.266666667,0,0
3,tigress,0.375,0.416666667,0.5,0.25
4,nimefi,0.75,0.75,0.5,0
5,clr,0.75,0.5,1,0.5
6,aracne,0.75,0.5,1,0.5
7,ode,0.625,0.7,0.5,0
