"","regulatoryGene","targetGene","weight","goldstand"
"1","z","y",1,1
"2","y","z",1,0
"3","z","x",0.794860394880941,1
"4","x","z",0.794860394880941,0
"5","y","x",0,0
"6","x","y",0,0
