,0,1,2,3,4
0,kocmi,0.75,0.75,0.5,0
1,genie3,0.75,0.583333333,1,0.25
2,genims,0.5,0.333333333,0,0
3,tigress,0.5625,0.416666667,1,0.5
4,nimefi,0.75,0.75,0.5,0
5,clr,0.75,0.5,1,0.5
6,aracne,0.75,0.5,1,0.5
7,ode,0.75,0.583333,1,0.25
