,0,1,2,3,4
0,kocmi,1,1,1,0
1,genie3,0.111111,0.411111,0,0
2,genims,0.333333,0.5,0,0
3,tigress,0.444444,0.333333,0.666666,0.333333
4,nimefi,0.333333,0.5,0,0
5,clr,0.5,0.5,0,0
6,aracne,0.5,0.5,0,0
7,ode,1,1,1,0
