"","regulatoryGene","targetGene","weight","goldstand"
"1","z","x",0.333333333333334,0
"2","z","y",0.333333333333334,0
"3","y","z",0.2080814448184,1
"4","x","z",0.125251888514933,1
"5","y","x",0,0
"6","x","y",0,0
