"","regulatoryGene","targetGene","weight","goldstand"
"1","z","y",1,0
"2","y","z",1,1
"3","y","x",0.707106781186547,0
"4","x","y",0.707106781186547,0
"5","z","x",0,0
"6","x","z",0,1
