"","regulatoryGene","targetGene","weight","goldstand"
"1","z","y",0.29203322936593,1
"2","z","x",0.249719126848356,1
"3","y","z",0.239880356797173,0
"4","y","x",0.180115607817247,0
"5","x","z",0.0382516791712942,0
"6","x","y",0,0
