,0,1,2,3,4
0,kocmi,1,1,1,0
1,genie3,0.75,0.75,0.5,0
2,genims,1,1,1,0
3,tigress,1,1,1,0
4,nimefi,0.75,0.583333333,1,0.25
5,clr,0.75,0.5,1,0.5
6,aracne,0.75,0.5,1,0.5
7,ode,0.5,0.416666,1,0.5
