"","regulatoryGene","targetGene","weight","goldstand"
"1","z","y",0.282611397154709,1
"2","y","z",0.274961763459982,0
"3","z","x",0.229702184826289,1
"4","y","x",0.212724654559022,0
"5","x","y",0,1
"6","x","z",0,0
