"","regulatoryGene","targetGene","weight","goldstand"
"1","z","y",1,1
"2","y","z",1,0
"3","y","x",0.707106781186548,0
"4","x","y",0.707106781186548,1
"5","z","x",0,1
"6","x","z",0,0
