"","regulatoryGene","targetGene","weight","goldstand"
"1","z","y",0.297525905151697,1
"2","y","z",0.261643846133641,0
"3","z","x",0.26110714092175,1
"4","y","x",0.179723107792913,0
"5","x","y",0,1
"6","x","z",0,0
