CCNE1	E2F1	CDC6	PCNA	RFC4	CDC2 	CCNA2	CCNB1	CDKN3
0.264316	0.448647	0.4308	0.392494	0.274564	0.33	0.135537	-0.102559	-0.481314
0.24645	0.499191	0.597364	0.436593	0.417791	0.29	-0.099717	-0.349375	-0.311165
-0.019423	0.352952	0.636145	0.434447	0.239241	0.12	-0.058487	-0.480196	-0.488006
-0.092572	0.080114	0.66584	0.332153	0.206617	0.42	0.261801	-0.153828	-0.793592
-0.189855	0.203187	0.216126	0.108755	0.243124	0.33	-0.051501	-0.004136	-0.471975
-0.4677	-0.225586	0.150169	-0.236801	0.072234	0.6	0.3846	0.206976	-0.403816
-0.331496	-0.386873	-0.083792	-0.256283	-0.145082	0.72	0.474758	0.059522	-0.072333
-0.649647	-0.757563	-0.489485	-0.548305	-0.208944	1.05	0.643753	0.064829	0.344998
-0.627474	-0.846596	-0.640548	-0.520457	-0.110824	1.34	0.469271	0.281541	0.344699
-0.362726	-1.185242	-0.703117	-0.896931	-0.211569	1.16	0.67967	0.463789	0.650983
-0.532644	-0.762269	-0.516052	-0.621503	-0.519871	-0.27	0.425384	0.54793	0.12407
-0.139676	-0.590025	-0.251057	-0.553056	-0.565666	-1.17	0.47985	0.374208	0.436405
0.01892	-0.432622	-0.301935	-0.307801	-0.314136	-1.36	-0.190895	0.138786	-0.051046
0.496766	-0.021554	0.068147	-0.387607	-0.411234	-1.42	-0.4764	-0.188916	0.165265
1.021544	0.263312	0.440457	-0.076184	0.05335	-1.24	-0.816853	-0.154839	-0.056682
0.656878	0.206314	0.618825	-0.014139	0.181276	-0.8	-0.649149	-0.356467	-0.226308
1.026148	0.679025	0.574708	0.447726	0.196901	-0.49	-0.525994	-0.430847	-0.056655
0.390868	0.519935	0.558578	0.603297	0.252183	-0.03	-0.270788	-0.212864	-0.274717
0.526541	0.803833	0.770901	0.48635	0.187364	0.14	0.23235	-0.122312	-0.464076
-0.019927	0.365045	0.432153	0.408715	0.09581	0.51	0.225542	-0.005066	-0.214901
-0.243516	-0.108808	0.028495	-0.024197	0.055051	0.47	0.093202	-0.169762	-0.300598
-0.459827	-0.026252	-0.052996	0.095631	0.122998	0.75	0.556858	0.025212	0.067364
-0.347795	-0.249025	-0.338546	0.076737	-0.128739	0.72	0.494379	0.113944	0.080066
-0.635719	-0.371216	-0.497308	-0.072161	-0.040102	0.68	0.489459	0.288566	0.69075
-0.369247	-0.483592	-0.532668	-0.500391	-0.264709	0.3	0.483806	0.305302	0.472494
-0.225738	-0.351298	-0.541635	-0.490346	-0.336731	-0.33	0.178198	-0.003653	0.444569
0.138136	-0.337886	-0.824094	-0.39229	-0.303726	-0.75	-0.271648	-0.247236	0.249968
0.359322	-0.154526	-0.471109	-0.060121	-0.189053	-0.87	-0.721705	0.15465	0.322845
0.309731	0.288871	0.22226	-0.029502	0.101881	-0.69	-0.458768	0.001733	-0.171078
0.695269	0.483632	0.416767	0.00817	0.070809	-0.57	-0.518581	-0.161717	-0.039529
0.375601	0.441158	0.425686	0.157658	0.178264	-0.55	-0.306865	-0.104355	-0.240188
0.289696	0.250448	0.371992	0.542882	0.240762	0	-0.368428	-0.004683	-0.383506
0.282153	0.387012	0.32901	0.2451	0.113216	0.17	-0.019667	-0.266504	-0.021298
0.026751	0.214102	0.017096	0.373052	0.09876	0.61	0.052389	-0.017573	-0.108338
-0.229492	0.235629	-0.303947	0.20875	-0.052982	0.61	0.113394	0.100503	-0.02525
-0.429507	-0.296238	-0.287443	-0.109127	-0.051004	0.43	0.023981	0.303319	0.280538
-0.350263	-0.178748	-0.267698	-0.100195	-0.186575	0.44	0.249651	0.044903	0.190095
-0.633798	-0.238986	-0.228449	-0.061166	-0.109426	0.42	0.309697	-0.005429	0.157753
-0.418908	-0.129279	-0.377063	-0.183784	-0.175248	0.16	0.234928	0.332552	0.054706
-0.434532	-0.246361	-0.433174	-0.130803	-0.016271	-0.14	0.220066	-0.058875	0.494307
-0.095867	-0.121062	-0.526516	-0.139335	-0.034957	0.02	-0.159146	0.187048	0.201283
-0.029223	-0.303928	-0.269585	0.009486	0.022548	-0.46	0.014517	-0.059738	0.21946
0.167349	0.059797	-0.061351	-0.215893	-0.137638	-0.55	-0.344727	0.119107	-0.088716
-0.0372	0.060006	0.13823	0.003529	0.153189	-0.38	-0.217817	0.044662	-0.012155
0.27473	0.361102	0.006481	0.047269	0.121112	-0.62	-0.607277	-0.277265	-0.014064
0.240761	0.406941	0.287091	0.33932	0.254374	-0.09	-0.292958	0.155524	0.068704
0.144965	0.507123	0.276574	0.484391	0.173525	-0.22	-0.461814	-0.254919	-0.093777
0.141081	0.175714	0.189726	0.439947	0.232199	0.03	-0.039298	0.047319	0.017464
