CCNE1	E2F1	CDC6	PCNA	RFC4	CDC2 	CCNA2	CCNB1	CDKN3
0.667455	0.047132	0.323916	0.514125	0.336073	0.49	-0.059828	-0.137518	-0.510465
0.042446	-0.265392	0.575208	-0.133704	1.001568	0.03	-0.219481	-0.730657	-0.901284
-0.631935	-0.086534	0.290648	-0.093485	0.506197	-0.19	-0.339889	-0.508759	-0.882595
-0.357473	0.203058	0.109681	0.704022	0.054684	0.88	0.810149	0.480467	0.11282
-1.337446	-1.190442	-0.3281	-0.178861	-0.698186	1.27	1.026146	1.272393	0.324061
-0.39007	-0.349435	-0.696689	-0.370448	-0.583851	1.27	1.031169	0.839842	0.642252
-0.311382	-0.301133	-0.614834	0.001663	-0.11229	-0.01	0.774472	0.955312	0.594696
1.056085	0.496353	0.228442	0.220626	0.002984	-1.85	-1.211467	-0.164386	0.352296
0.935495	0.94506	0.06515	-0.529104	0.220871	-1.36	-1.350086	-1.057866	-0.081927
1.160772	0.849496	0.565826	0.27338	-0.012129	0.06	-0.445034	-1.122751	-0.238336
-1.116984	0.71173	-0.418933	-0.037805	-0.612808	0.99	0.878444	0.239956	1.406832
0.261133	-0.412943	-0.106192	-0.429681	-0.325279	-1.22	-0.883186	-0.602765	-0.458768
0.494524	0.582562	0.736249	0.359878	0.572435	0.21	-0.331828	-0.546745	-0.674467
-0.070081	0.893208	0.624392	0.225611	0.571701	0.3	-0.512772	-0.065874	-0.659374
-0.350599	0.303934	-0.168071	0.001968	0.345019	0.48	0.206736	-0.060686	-0.526064
-0.452867	0.691331	0.1411	0.346795	0.564729	0.8	0.24602	0.507707	-0.170603
-0.410491	-0.179357	-0.417648	-0.091781	-0.068768	1.02	0.908021	0.558927	0.282686
-1.091916	0.044009	-0.252848	-0.269072	0.02267	1.3	0.804339	1.07491	0.417486
-0.442453	-0.727375	-0.370238	-0.184615	-0.30748	0.7	0.876083	0.271287	0.51246
-1.221318	-0.511632	-0.784348	-0.314415	-0.300589	1.46	0.964848	1.235824	1.077726
-0.455675	-0.157493	-0.6653	0.193594	-0.445502	0.46	0.522856	0.76649	0.760025
-0.063508	-0.110946	-0.307279	-0.691767	-0.380879	-0.81	-0.08029	0.776935	0.672444
0.822742	0.130916	0.463753	0.3593	-0.785894	-1.85	-0.482131	0.585317	0.545871
1.615046	0.013533	-0.288254	0.276633	-0.393951	-1.43	-0.77206	0.130291	0.526268
1.450547	0.651016	0.754185	0.681958	-0.103297	-1.66	-1.409591	-1.562558	0.051333
1.183465	0.724384	1.134918	0.649603	0.474583	-0.72	-1.088408	-1.62235	-0.53217
0.20597	0.354786	0.476614	0.175679	0.607085	0.01	-0.105685	-0.500681	-0.524352
-0.256118	-0.222728	0.343859	0.041574	0.318493	-0.04	-0.098465	-1.427999	-1.406524
