CCNE1	E2F1	CDC6	PCNA	RFC4	CDC2 	CCNA2	CCNB1	CDKN3
0.494524	0.582562	0.736249	0.359878	0.572435	0.21	-0.331828	-0.546745	-0.674467
-0.070081	0.893208	0.624392	0.225611	0.571701	0.3	-0.512772	-0.065874	-0.659374
-0.350599	0.303934	-0.168071	0.001968	0.345019	0.48	0.206736	-0.060686	-0.526064
-0.452867	0.691331	0.1411	0.346795	0.564729	0.8	0.24602	0.507707	-0.170603
-0.410491	-0.179357	-0.417648	-0.091781	-0.068768	1.02	0.908021	0.558927	0.282686
-1.091916	0.044009	-0.252848	-0.269072	0.02267	1.3	0.804339	1.07491	0.417486
-0.442453	-0.727375	-0.370238	-0.184615	-0.30748	0.7	0.876083	0.271287	0.51246
-1.221318	-0.511632	-0.784348	-0.314415	-0.300589	1.46	0.964848	1.235824	1.077726
-0.455675	-0.157493	-0.6653	0.193594	-0.445502	0.46	0.522856	0.76649	0.760025
-0.063508	-0.110946	-0.307279	-0.691767	-0.380879	-0.81	-0.08029	0.776935	0.672444
0.822742	0.130916	0.463753	0.3593	-0.785894	-1.85	-0.482131	0.585317	0.545871
1.615046	0.013533	-0.288254	0.276633	-0.393951	-1.43	-0.77206	0.130291	0.526268
1.450547	0.651016	0.754185	0.681958	-0.103297	-1.66	-1.409591	-1.562558	0.051333
1.183465	0.724384	1.134918	0.649603	0.474583	-0.72	-1.088408	-1.62235	-0.53217
0.20597	0.354786	0.476614	0.175679	0.607085	0.01	-0.105685	-0.500681	-0.524352
-0.256118	-0.222728	0.343859	0.041574	0.318493	-0.04	-0.098465	-1.427999	-1.406524
-0.424391	-0.197427	-0.177355	-0.136235	0.203044	0.63	0.279523	0.188124	-0.214629
-1.449877	-0.84451	-0.636727	-0.472339	-0.345744	0.71	0.3846	0.363427	0.221382
-0.693551	-0.876247	-0.654404	-0.580331	-0.430943	0.35	0.403292	0.620768	0.103856
-0.507217	-0.893436	-0.616388	-0.934507	-0.113062	-0.85	0.015628	-0.401254	-0.334391
0.910041	-0.13508	0.175528	-0.078441	0.062551	-1.04	-0.736962	-0.150852	-0.252067
0.252334	0.503726	0.092379	-0.006036	0.023105	-0.36	-0.442651	-0.133753	-0.165059
0.549245	-0.027063	0.060668	-0.064809	-0.003569	0.28	-0.174173	0.141619	-0.40686
-0.035173	-0.808289	-0.423175	-0.122836	0.087426	0.47	0.523487	0.573135	0.189569
-0.038182	0.052298	-0.300358	-0.295928	-0.402474	-0.22	-0.46247	0.427959	0.257835
0.417478	-0.110955	0.181259	-0.035237	0.0851	0.19	0.001873	-0.762013	-0.153867
