"","regulatoryGene","targetGene","weight","goldstand"
"1","y","x",1,1
"2","x","y",1,0
"3","z","y",0.877951043473977,1
"4","y","z",0.877951043473977,0
"5","z","x",0,0
"6","x","z",0,1
