,0,1,2,3,4
0,kocmi,0.944444444,0.916666667,1,0.333333333
1,genie3,0.111111111,0.411111111,0,0
2,genims,0.444444444,0.666666667,0.333333333,0
3,tigress,0.388888889,0.5,0,0
4,nimefi,0.666666667,0.755555556,1,0.666666667
5,clr,0.5,0.5,0,0
6,aracne,0.5,0.5,0,0
7,ode,0.333337,0.5,0,0
