"","regulatoryGene","targetGene","weight","goldstand"
"1","y","x",1,1
"2","x","y",1,0
"3","z","x",0.707106781186548,0
"4","x","z",0.707106781186548,1
"5","z","y",0,1
"6","y","z",0,0
