,0,1,2,3,4
0,kocmi,1,1,1,0
1,genie3,0,0.383333,0,0
2,genims,0.555555,0.7,1,0.666666
3,tigress,0.444444,0.555555,0.666666,0.333333
4,nimefi,0.888888,0.916666,1,0.333333
5,clr,0.5,0.5,0,0
6,aracne,0.5,0.5,0,0
7,ode,0.666666,0.755555,1,0.666666
