"","regulatoryGene","targetGene","weight","goldstand"
"1","x","y",0.520785815227629,0
"2","y","z",0.519839463010434,0
"3","y","x",0.505996678874331,1
"4","z","x",0.494003321125669,0
"5","x","z",0.480160536989566,1
"6","z","y",0.47921418477237,1
